type,sku,name,description,regular_price,categories,images,grouped_products,attribute_1_name,attribute_1_values,attribute_2_name,attribute_2_values,attribute_3_name,attribute_3_values
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",3025000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,3-cm,attribute_pa_kich-thuoc,1-4m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",3290000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,3-cm,attribute_pa_kich-thuoc,1-6m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",3745000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,3-cm,attribute_pa_kich-thuoc,1-8m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",3820000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,5-cm,attribute_pa_kich-thuoc,1-0m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",4310000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,5-cm,attribute_pa_kich-thuoc,1-2m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",5260000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,7-5-cm,attribute_pa_kich-thuoc,1-0m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",4845000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,5-cm,attribute_pa_kich-thuoc,1-4m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",5940000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,7-5-cm,attribute_pa_kich-thuoc,1-2m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",5290000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,5-cm,attribute_pa_kich-thuoc,1-6m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",6665000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,7-5-cm,attribute_pa_kich-thuoc,1-4m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",5995000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,5-cm,attribute_pa_kich-thuoc,1-8m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",7220000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,7-5-cm,attribute_pa_kich-thuoc,1-6m-x-2-0m
variation,#GREENSLEEP-GCOT,Nệm cao su Green Sleep gấp 3,"
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",8245000,Nệm/Nệm cao su,"https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-1.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-2.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-3.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-4.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-5.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-6.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-7.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-8.png,https://nemvanthanh.vn/wp-content/uploads/2021/03/Nem-cao-su-green-sleep-9.png",#GREENSLEEP-GCOT,attribute_pa_chat-lieu,vai-cotton,attribute_pa_do-day,7-5-cm,attribute_pa_kich-thuoc,1-8m-x-2-0m
